recipe,chef,nights
Chicken and mixed vegetables,Nat,2
Jungle curry,Nat,2
Massaman curry,Nat,2
Chilli con carne,Both,3
Lasagne,Nat,3
Kievs,Both,1
Jackets,Both,1
Mom's curry,Both,2
Chicken stir fry,Nat,2
Fried rice,Nat,1
Tuna steaks,Nat,1
"Salmon, potatoes, green beans",Both,1
Simple chicken pasta,Billy,2
Simple pork pasta,Billy,2
Simple bacon pasta,Billy,2
Pasta bake,Both,3
Paella,Billy,2
Roast chicken,Billy,1
Carbonara,Billy,1
Breaded chicken with tenderstem,Billy,1
Steak and chips,Billy,1
Bangers and mash,Both,1
Pork chops with pasta and veg,Both,1
Sweet potatoes with feta salad,Both,1
Pasta arrabiata,Billy,2
Spaghetti bolognese,Billy,2
Asian style sticky pork,Billy,1
Burritos,Billy,3
Full roast,Billy,2
Fajitas,Billy,2
Burger and chips,Billy,1
Lamb Gozlome,Nat,1